Time: 0:18	Keystrokes:    89	Incorrects:    5	WPM: 33	Accuracy: 94%
Time: 0:24	Keystrokes:    93	Incorrects:    9	WPM: 25	Accuracy: 90%
Time: 0:05	Keystrokes:    37	Incorrects:    0	WPM: 84	Accuracy: 100%
Time: 0:07	Keystrokes:    37	Incorrects:    0	WPM: 60	Accuracy: 100%
Time: 0:17	Keystrokes:    38	Incorrects:    1	WPM: 24	Accuracy: 97%
Time: 0:18	Keystrokes:    27	Incorrects:    6	WPM: 13	Accuracy: 77%
Time: 0:18	Keystrokes:    43	Incorrects:    2	WPM: 26	Accuracy: 95%
Time: 0:17	Keystrokes:    40	Incorrects:    0	WPM: 28	Accuracy: 100%
Time: 0:13	Keystrokes:    40	Incorrects:    19	WPM: 18	Accuracy: 52%
Time: 0:13	Keystrokes:    43	Incorrects:    22	WPM: 18	Accuracy: 48%
